text,emotion
ဒီနေ့ အရမ်းပျော်တယ်,joy
မင်းကိုတွေ့ရတာ ဝမ်းသာတယ်,joy
အောင်မြင်မှုရလို့ ပျော်နေတယ်,joy
ဒီသတင်းကြားရတာ အရမ်းဝမ်းသာတယ်,joy
သူတို့နဲ့တွေ့ပြီး ပျော်ခဲ့တယ်,joy
ဒီနေ့က တကယ်ကောင်းတဲ့နေ့ပါ,joy
ငါ့စိတ်ထဲ ပျော်ရွှင်နေတယ်,joy
အရမ်းဝမ်းသာပါတယ်,joy
အောင်ပွဲရလို့ ပျော်တယ်,joy
ဒီအောင်မြင်မှုကြောင့် ပျော်နေတယ်,joy
ဒီနေ့ စိတ်မကောင်းဘူး,sadness
ငါ့စိတ်ထဲ ဝမ်းနည်းနေတယ်,sadness
သူမသွားတာကြောင့် စိတ်မကောင်းဘူး,sadness
ဒီသတင်းကြားရတာ ဝမ်းနည်းတယ်,sadness
အရမ်းစိတ်ညစ်နေတယ်,sadness
ငါ တော်တော်လေး စိတ်မကောင်းဖြစ်တယ်,sadness
ဒီနေ့က မကောင်းတဲ့နေ့ပါ,sadness
ဝမ်းနည်းပြီး တိတ်တိတ်လေးနေနေတယ်,sadness
စိတ်ထဲ လေးလံနေတယ်,sadness
အရမ်းဝမ်းနည်းပါတယ်,sadness
သူ့ကို အရမ်းမုန်းတယ်,anger
ဒီအရာကြောင့် ဒေါသထွက်တယ်,anger
ငါ အရမ်းစိတ်ဆိုးနေတယ်,anger
ဘာလို့ဒီလိုလုပ်တာလဲ,anger
ဒီကိစ္စကြောင့် မကျေနပ်ဘူး,anger
ဒေါသထွက်ပြီး စကားမပြောချင်ဘူး,anger
သူ့အပြုအမူကြောင့် စိတ်ဆိုးတယ်,anger
ငါ အရမ်းမကျေနပ်ဘူး,anger
ဒီအခြေအနေကို ဒေါသထွက်တယ်,anger
မင်းပြောတာကြောင့် စိတ်ဆိုးသွားတယ်,anger
အဲဒီအသံကြားပြီး ကြောက်သွားတယ်,fear
ညဘက်မှာ ကြောက်နေတယ်,fear
ဒီအရာကြောင့် စိုးရိမ်နေတယ်,fear
အန္တရာယ်ရှိမလားဆိုပြီး ကြောက်တယ်,fear
စိတ်ထဲ စိုးရိမ်နေတယ်,fear
သူ့ကိုတွေ့တော့ ကြောက်သွားတယ်,fear
ဒီနေရာမှာ နည်းနည်းကြောက်တယ်,fear
မသိတဲ့အသံကြောင့် လန့်သွားတယ်,fear
အနာဂတ်အတွက် စိုးရိမ်နေတယ်,fear
ဒီအခြေအနေက ကြောက်စရာကောင်းတယ်,fear
မင်းကို ချစ်တယ်,love
သူမကို အရမ်းချစ်တယ်,love
မင်းနဲ့အတူရှိရတာ ကြိုက်တယ်,love
မင်းအတွက် အမြဲဂရုစိုက်တယ်,love
သူက ငါ့အတွက် အရေးကြီးတယ်,love
မင်းကို အရမ်းတန်ဖိုးထားတယ်,love
ငါ မင်းကို မေတ္တာရှိတယ်,love
မင်းနဲ့အတူနေချင်တယ်,love
မင်းကြောင့် ပျော်တယ်,love
မင်းကို အမြဲထောက်ပံ့ချင်တယ်,love
အဲဒါကိုကြည့်ပြီး အံ့အားသင့်တယ်,surprise
ဒီသတင်းက အံ့သြစရာပါ,surprise
မထင်မှတ်ဘဲ ဖြစ်သွားတယ်,surprise
ဒီအဖြစ်အပျက်က အံ့သြစရာကောင်းတယ်,surprise
အဲဒါကို မြင်ပြီး လန့်သွားတယ်,surprise
ဒီရလဒ်ကို မမျှော်လင့်ထားဘူး,surprise
တကယ်ကို အံ့သြသွားတယ်,surprise
မထင်ထားတဲ့အရာဖြစ်လာတယ်,surprise
ဒီသတင်းကြားပြီး အံ့သြတယ်,surprise
အဲဒီအရာကို မြင်တော့ အံ့အားသင့်တယ်,surprise
